Designator,Mid X,Mid Y,Layer,Rotation
C1,26.83,27.94,Top,270.0
C2,31.91,27.30,Top,90.0
C3,28.26,26.35,Top,90.0
C4,27.62,30.48,Top,0.0
C5,36.51,28.26,Top,0.0
C6,29.69,34.93,Top,90.0
C7,47.15,22.07,Top,270.0
C9,46.36,20.00,Top,0.0
C10,44.45,38.42,Top,270.0
D1,22.23,18.73,Top,0.0
R1,22.23,37.15,Top,0.0
R2,20.32,21.27,Top,0.0
R3,23.81,21.27,Top,180.0
R4,19.05,37.15,Top,0.0
R5,41.27,21.91,Top,0.0
R6,44.45,21.91,Top,0.0
U$1,44.13,28.89,Top,0.0
U2,36.83,36.20,Top,90.0
U3,31.12,44.77,Top,0.0
U4,23.18,44.77,Top,0.0
