Designator,Mid X,Mid Y,Rotation,Layer
BNO55,214.386,-78.207,270.0,top
C1,234.54,-71.4,45.0,top
C10,187.01,-126.53,180.0,bottom
C11,205.98,-133.18,270.0,bottom
C12,239.547499,-46.68,0.0,bottom
C13,225.05,-85.94,0.0,bottom
C14,192.3875,-56.08,180.0,bottom
C15,187.0175,-129.67,180.0,bottom
C16,203.98,-133.17,270.0,bottom
C2,242.697,-56.642,90.0,top
C3,227.0625,-66.75,180.0,bottom
C4,223.53,-67.95,0.0,bottom
C5,223.55,-66.3,0.0,bottom
C6,227.6,-68.5225,180.0,bottom
C7,227.6,-64.87,180.0,bottom
C8,227.625,-70.4,180.0,bottom
C9,222.6405,-39.624,0.0,bottom
Connector_Sub1,238.58,-118.17,90.0,top
D1,199.38,-41.19,0.0,top
D2,227.7425,-77.77,180.0,bottom
D3,205.24,-126.37,180.0,top
D4,205.1975,-130.28,180.0,top
D5,198.77,-141.95,180.0,top
D6,198.77,-144.54,180.0,top
D7,199.4,-36.42,0.0,top
D8,199.39,-43.688,0.0,top
D9,199.41,-38.77,0.0,top
J1,192.61,-103.5,180.0,bottom
J2,204.71,-85.16,180.0,top
J3,240.944,-88.626,0.0,bottom
J4,232.62,-38.485,180.0,top
J5,238.775,-103.353,90.0,top
LS1,222.23,-129.22,180.0,top
Q1,212.3,-128.28,0.0,top
R1,213.1,-124.7,180.0,top
R10,233.68,-92.202,270.0,top
R11,202.87,-36.42,0.0,top
R12,233.807,-37.6955,90.0,bottom
R13,231.267,-37.6955,90.0,bottom
R14,202.84,-38.78,0.0,top
R15,202.49,-141.94,0.0,top
R2,202.84,-43.688,180.0,top
R3,213.358,-36.83,180.0,bottom
R4,215.15,-83.6875,270.0,top
R5,216.73,-81.99,270.0,top
R6,232.916,-76.581,0.0,bottom
R7,232.916,-78.867,180.0,bottom
R8,202.81,-41.18,180.0,top
R9,202.49,-144.607,0.0,top
SW1,210.0625,-143.1525,0.0,top
SW2,222.23,-143.04,0.0,top
SW3,233.45,-143.17,0.0,top
SW4,221.18,-39.07,0.0,top
SW5,210.41,-39.1,0.0,top
TFT1,224.265,-48.235,270.0,top
TFT2,206.48,-48.235,270.0,top
U1,209.5865,-70.0995,90.0,top
U2,226.451,-85.969,270.0,top
U3,241.3,-50.8,180.0,top
U4,226.06,-67.31,315.0,top
